playerName,total_goals,matches,latest_match,home_goals,away_goals,own_goals,penalty_goals
Otto Siffling,3,2,1937-11-21,2,1,0,0
Edmund Conen,4,2,1934-06-07,0,4,0,0
José Iraragorri,2,1,1934-05-27,0,2,0,1
Leônidas,1,1,1934-05-27,1,0,0,0
Antonín Puč,2,2,1934-06-10,1,1,0,0
Oldřich Nejedlý,9,6,1938-06-12,8,1,0,1
Pál Teleki,1,1,1934-05-27,0,1,0,0
Jenő Vincze,2,2,1938-03-25,1,1,0,0
Angelo Schiavio,4,2,1934-06-10,4,0,0,0
Raimundo Orsi,3,2,1934-06-10,3,0,0,0
Leopold Kielholz,3,2,1934-05-31,0,3,0,0
André Abegglen,4,3,1938-06-09,0,4,0,0
František Svoboda,1,1,1934-05-31,1,0,0,0
Jiří Sobotka,1,1,1934-05-31,1,0,0,0
Gösta Dunker,1,1,1934-05-31,0,1,0,0
Rudolf Noack,1,1,1934-06-03,0,1,0,0
Enrique Guaita,1,1,1934-06-03,1,0,0,0
Ernst Lehner,5,3,1937-08-29,2,3,0,0
Karl Sesta,1,1,1934-06-07,1,0,0,0
Arturo Carmona,2,2,1937-01-21,1,1,0,0
Miguel Angel Lauri,1,1,1935-01-06,1,0,0,0
Arturo Arrieta,1,1,1935-01-06,1,0,0,0
Diego García,2,2,1935-01-20,1,1,0,0
Herminio Masantonio,11,5,1942-01-22,8,3,0,0
Aníbal Ciocca,5,4,1942-01-28,2,3,0,0
Carlos Giudice,1,1,1935-01-18,1,0,0,0
Teodoro Fernández,15,9,1942-01-25,9,6,0,1
José Taboada,1,1,1935-01-27,0,1,0,0
Voldemaras Jaškevičius,3,3,1938-09-04,0,3,0,0
Nikolai Linberg,1,1,1935-08-20,1,0,0,0
Iļja Vestermans,8,7,1937-10-05,3,5,0,0
Romualdas Marcinkus,1,1,1935-08-21,1,0,0,0
Georg Siimenson,5,4,1937-09-05,1,4,0,0
Juozas Gudelis,2,2,1937-07-29,0,2,0,0
Jānis Lidmanis,1,1,1936-08-31,1,0,0,1
Julius Kaljo,1,1,1936-08-31,0,1,0,1
Roberto Emílio da Cunha,3,3,1938-06-14,3,0,0,0
Afonso Guimarães da Silva,1,1,1936-12-27,1,0,0,0
Niginho,2,2,1937-01-19,2,0,0,0
Raúl Toro Julio,9,6,1941-02-02,6,3,0,0
Amadeo Ortega,2,1,1937-01-02,2,0,0,0
Severino Varela,15,9,1942-01-28,5,10,0,1
Adolfo Erico,1,1,1937-01-02,1,0,0,1
Patesko,6,3,1942-01-14,6,0,0,0
Carvalho Leite,3,3,1937-01-19,3,0,0,0
José Avendaño,3,2,1939-02-05,2,1,0,0
Luíz Mesquita de Oliveira,4,2,1937-01-13,4,0,0,0
Guillermo Riveros,1,1,1937-01-03,0,1,0,0
Adelaido Camaití,2,2,1939-01-29,0,2,0,0
Adolfo Magallanes,2,2,1942-01-18,1,1,0,0
Juan Píriz,3,3,1937-01-23,0,3,0,0
Enrique García,5,5,1942-01-22,4,1,0,0
Alberto Zozaya,5,3,1937-01-23,5,0,0,0
Manuel Arancibia,2,2,1941-02-02,2,0,0,0
Juan Amarilla,1,1,1937-01-17,0,1,0,0
Martín Flor,1,1,1937-01-17,0,1,0,0
Raúl Núñez Velloso,1,1,1937-01-17,0,1,0,0
Segundo Villadóniga,1,1,1937-01-19,0,1,0,0
Antônio Almeida,1,1,1937-01-19,1,0,0,0
Jorge Alcalde,7,5,1939-02-12,5,2,0,0
Guillermo Torres,1,1,1937-01-21,1,0,0,0
Eduardo Ithurbide,1,1,1937-01-23,0,1,0,0
José María Lavalle,1,1,1937-01-24,0,1,0,0
Vicente de la Mata,5,4,1946-01-12,5,0,0,0
Erik Persson,1,1,1937-06-16,1,0,0,0
Kurt Svanström,1,1,1937-06-16,1,0,0,0
Heinrich Uukkivi,3,3,1938-09-03,1,2,0,0
Gustav Josefsson,2,1,1937-06-20,2,0,0,0
Gustav Wetterström,6,2,1938-06-12,3,3,0,0
Adolf Urban,1,1,1937-06-29,0,1,0,0
Fricis Kaņeps,5,2,1937-09-03,3,2,0,1
Jonas Paulionis,2,2,1937-09-03,1,1,0,0
